participant,fold_p,language_a,language_b,language_c,age,gender,ethnic,occupation,education_a,education_b,dwelling,citizen,residence_length,annoyance_freq,quality,wnss,pss,who,panas_pos,panas_neg
ARAUS_00280,5,0,-1,-1,22,1,1,1,5,7,2,1,0,7,6,41,19,16,37,37
ARAUS_00281,1,1,1,0,19,1,1,1,5,7,1,1,1,7,2,34,30,12,31,27
ARAUS_00282,2,0,-1,-1,24,0,1,1,5,7,3,1,1,3,5,33,23,11,34,22
ARAUS_00283,3,1,1,0,29,0,1,1,6,7,4,1,1,7,3,43,20,9,34,29
ARAUS_00284,4,0,-1,-1,21,0,1,1,5,7,1,1,1,2,9,38,27,15,43,25
ARAUS_00285,5,1,1,0,23,1,1,1,6,7,3,1,1,3,5,28,23,19,25,23
ARAUS_00286,1,1,1,0,25,0,1,1,6,7,1,1,1,2,8,19,11,15,38,11
ARAUS_00287,2,1,0,0,21,0,1,1,5,7,2,0,0,1,5,25,23,20,37,35
ARAUS_00288,3,1,1,1,19,1,1,1,5,7,1,1,1,7,8,33,31,8,26,39
ARAUS_00289,4,1,1,0,21,1,1,1,5,7,1,1,1,8,3,43,32,10,22,26
ARAUS_00290,5,1,1,0,20,1,1,1,5,7,4,1,1,7,3,38,26,12,31,30
ARAUS_00291,1,1,1,0,21,1,1,1,5,7,1,1,1,6,4,37,18,13,22,20
ARAUS_00292,2,1,0,1,22,1,1,1,5,7,1,1,1,2,7,40,18,19,27,17
ARAUS_00293,3,1,1,0,23,0,1,1,5,7,2,1,1,3,5,40,25,11,27,23
ARAUS_00294,4,1,1,1,21,1,1,1,5,7,1,1,1,3,8,24,21,8,19,19
ARAUS_00295,5,1,0,0,20,1,1,1,3,7,2,0,0,2,9,29,18,19,34,20
ARAUS_00296,1,1,1,1,27,0,1,2,8,-1,1,1,1,6,7,38,20,15,31,15
ARAUS_00297,2,1,1,1,34,0,1,2,7,-1,1,1,1,8,8,36,14,10,21,14
ARAUS_00298,3,1,1,0,19,1,2,1,5,7,2,1,1,7,7,34,29,11,28,38
ARAUS_00299,4,1,1,0,19,1,1,1,5,7,1,1,1,8,4,27,33,9,25,22
ARAUS_00300,5,1,1,1,20,1,0,1,5,7,1,0,1,6,7,34,21,12,24,28
ARAUS_00301,1,0,-1,-1,26,1,1,1,6,7,1,1,1,6,4,35,28,7,24,31
ARAUS_00302,2,1,1,0,20,1,1,1,5,7,1,1,1,0,9,37,25,4,26,36
ARAUS_00303,3,1,1,0,20,1,1,1,5,7,1,1,1,4,6,24,20,14,31,28
ARAUS_00304,4,1,1,0,20,1,1,1,5,7,1,1,1,8,4,39,21,10,26,30
ARAUS_00305,5,1,1,0,33,0,1,2,6,-1,1,1,1,2,7,36,15,14,36,19
ARAUS_00306,1,1,1,0,20,1,1,1,3,6,1,1,1,8,7,42,26,11,35,37
ARAUS_00307,2,1,1,0,18,1,1,1,3,6,1,1,1,2,6,42,21,8,22,22
ARAUS_00308,3,1,0,1,24,1,2,1,5,7,1,1,1,9,7,47,22,9,30,23
ARAUS_00309,4,1,1,0,19,1,1,1,5,7,2,1,1,2,9,30,33,5,23,42
ARAUS_00310,5,1,0,0,21,1,1,1,5,7,2,0,0,2,3,26,12,20,39,16
ARAUS_00311,1,1,1,0,20,1,1,1,6,7,1,1,1,9,5,39,21,18,46,18
ARAUS_00312,2,1,1,1,19,1,1,1,5,7,1,1,1,10,8,46,27,10,32,41
ARAUS_00313,3,1,1,0,19,0,1,1,5,7,2,0,0,8,3,46,29,6,22,25
ARAUS_00314,4,1,1,0,23,1,1,2,7,-1,1,1,1,5,6,49,16,16,33,15
ARAUS_00315,5,1,1,1,21,0,1,1,5,7,2,1,1,6,6,28,23,10,31,25
ARAUS_00316,1,1,1,0,20,0,1,1,6,7,2,0,0,6,5,32,26,11,34,27
ARAUS_00317,2,1,1,0,19,1,1,1,5,7,1,1,1,4,9,33,19,5,20,18
ARAUS_00318,3,1,1,0,19,1,1,1,5,7,1,0,1,7,6,41,37,7,29,36
ARAUS_00319,4,1,1,0,37,1,1,2,7,-1,3,1,1,8,6,38,25,7,22,25
ARAUS_00320,5,1,0,0,27,0,3,1,8,9,2,0,0,2,8,40,16,14,38,19
ARAUS_00321,1,1,0,0,19,0,1,1,5,7,2,0,0,7,4,39,31,12,40,47
ARAUS_00322,2,1,0,0,23,1,1,1,5,7,1,1,1,5,8,39,21,22,39,35
ARAUS_00323,3,1,0,0,27,1,1,1,9,9,3,0,0,6,7,32,11,24,40,24
ARAUS_00324,4,1,0,0,20,1,1,1,5,7,2,0,0,6,7,26,16,16,33,19
ARAUS_00325,5,1,1,0,21,1,1,1,5,7,1,1,1,8,2,50,28,5,25,32
ARAUS_00326,1,1,1,0,24,0,3,1,5,7,1,1,1,3,5,39,27,11,31,17
ARAUS_00327,2,1,1,0,27,0,1,1,6,7,1,1,1,6,5,29,28,11,27,34
ARAUS_00328,3,1,0,0,19,0,0,1,5,7,2,0,0,2,8,27,23,12,31,24
ARAUS_00329,4,1,1,0,20,1,1,1,5,7,1,1,1,6,7,36,16,15,34,20
ARAUS_00330,5,1,0,0,23,1,1,1,6,7,1,0,1,7,6,36,23,13,32,31
ARAUS_00331,1,1,1,0,36,0,2,2,7,-1,1,1,1,7,6,38,20,6,20,19
ARAUS_00332,2,1,0,0,19,0,1,1,5,7,2,0,0,7,6,36,14,17,37,19
ARAUS_00333,3,1,1,1,25,0,1,1,5,7,1,1,1,7,7,26,14,20,37,15
ARAUS_00334,4,1,1,0,22,0,1,1,5,7,2,1,1,6,2,34,16,13,29,17
ARAUS_00335,5,1,1,0,20,1,1,1,5,7,1,1,1,6,7,42,15,18,29,16
ARAUS_00336,1,1,1,0,25,1,1,2,7,-1,1,1,1,3,6,38,13,17,38,21
ARAUS_00337,2,1,1,0,20,0,1,1,5,7,2,1,1,2,9,26,21,7,24,26
ARAUS_00338,3,1,0,0,25,0,2,1,5,7,1,1,1,7,2,30,16,15,36,28
ARAUS_00339,4,1,1,0,25,0,3,1,6,7,1,1,1,7,6,42,17,17,41,23
ARAUS_00340,5,1,1,0,19,1,1,1,5,7,2,1,1,7,4,33,27,5,15,19
ARAUS_00341,1,0,-1,-1,22,1,1,1,6,7,2,1,1,8,5,46,13,6,21,19
ARAUS_00342,2,1,1,1,29,1,3,2,7,-1,1,1,1,10,0,46,28,10,36,34
ARAUS_00343,3,1,1,0,23,1,2,2,7,-1,1,1,1,6,3,40,22,16,38,27
ARAUS_00344,4,1,1,0,22,1,1,1,5,7,1,1,1,7,5,43,19,15,28,21
ARAUS_00345,5,1,1,0,24,0,1,1,5,7,1,1,1,7,4,40,11,18,37,15
ARAUS_00346,1,1,0,0,21,0,0,1,5,7,2,0,0,5,6,22,7,17,38,21
ARAUS_00347,2,1,0,0,19,0,3,1,5,7,2,0,0,3,9,30,24,12,33,37
ARAUS_00348,3,1,1,1,20,1,1,1,5,7,1,1,1,3,8,42,13,21,37,16
ARAUS_00349,4,1,1,0,20,1,1,1,5,7,1,1,1,4,8,38,27,11,32,36
ARAUS_00350,5,1,1,0,20,1,1,1,6,7,1,1,1,9,6,44,24,10,29,34
ARAUS_00351,1,1,0,0,35,0,3,2,9,-1,1,0,0,4,2,35,17,17,34,23
ARAUS_00352,2,1,0,0,21,1,0,1,5,7,2,0,0,4,8,26,19,17,35,14
ARAUS_00353,3,1,1,0,20,1,1,1,5,7,1,1,1,6,6,29,22,12,21,19
ARAUS_00354,4,1,1,0,25,1,1,1,6,7,3,1,1,9,3,42,30,10,31,26
ARAUS_00355,5,1,0,0,22,1,1,1,5,7,2,0,0,6,3,37,9,19,35,20
ARAUS_00356,1,1,0,0,19,1,1,1,6,7,2,0,0,2,8,36,29,6,23,28
ARAUS_00357,2,1,0,0,22,0,1,1,6,7,2,0,0,7,5,39,24,11,27,23
ARAUS_00358,3,1,1,1,21,1,3,1,5,7,2,0,0,6,8,32,26,10,19,28
ARAUS_00359,4,1,1,0,24,0,1,4,6,-1,1,1,1,9,7,34,8,21,43,13
ARAUS_00360,5,1,1,0,21,0,1,1,5,7,2,1,1,7,7,39,9,20,39,18
ARAUS_00361,1,1,1,0,21,0,3,2,5,-1,1,1,1,0,8,26,18,17,39,18
ARAUS_00362,2,1,0,0,28,1,1,1,8,9,4,0,0,3,1,45,23,13,37,28
ARAUS_00363,3,1,0,0,24,1,1,1,8,9,2,0,0,6,4,33,23,10,31,26
ARAUS_00364,4,0,-1,-1,30,0,1,2,7,-1,3,1,1,8,2,42,34,3,17,34
ARAUS_00365,5,1,1,0,29,1,1,2,7,-1,3,1,1,9,1,42,33,3,19,37
ARAUS_00366,1,1,0,0,25,1,1,1,7,9,1,0,0,7,6,38,21,14,34,25
ARAUS_00367,2,1,1,0,27,1,1,2,7,-1,1,1,1,10,1,50,21,11,33,19
ARAUS_00368,3,1,0,0,27,0,1,1,8,9,4,0,0,2,7,29,13,18,35,16
ARAUS_00369,4,1,0,0,48,0,1,2,7,-1,1,1,1,6,8,37,24,12,31,30
ARAUS_00370,5,1,0,0,26,1,1,1,7,9,1,0,0,7,7,24,25,5,25,22
ARAUS_00371,1,1,0,0,29,0,1,2,9,-1,3,0,0,3,7,27,17,10,28,19
ARAUS_00372,2,1,0,0,28,1,1,1,8,9,1,0,0,8,3,40,17,14,30,24
ARAUS_00373,3,1,0,0,28,1,1,1,8,9,1,0,0,2,0,40,17,20,32,21
ARAUS_00374,4,1,0,0,59,0,1,2,6,-1,1,1,1,3,3,31,14,10,27,18
ARAUS_00375,5,1,1,0,28,1,1,2,7,-1,4,1,1,8,10,35,29,17,27,37
ARAUS_00376,1,1,1,1,51,0,1,2,6,-1,1,1,1,3,4,34,20,17,34,18
ARAUS_00377,2,1,0,0,20,1,3,1,5,7,1,1,1,10,7,41,25,9,35,39
ARAUS_00378,3,1,1,0,21,1,1,1,5,7,1,1,1,7,6,29,14,14,29,25
ARAUS_00379,4,1,1,1,62,0,1,2,6,-1,1,1,1,6,8,31,14,12,29,16
ARAUS_00380,5,1,1,0,23,1,1,1,5,7,1,1,1,5,9,27,15,15,37,25
ARAUS_00381,1,1,1,0,23,1,2,1,6,7,1,1,1,6,8,40,22,12,25,27
ARAUS_00382,2,1,0,0,24,0,1,2,8,-1,1,0,0,0,7,34,11,21,33,14
ARAUS_00383,3,1,1,0,22,1,1,1,5,7,1,1,1,8,2,48,29,3,13,35
ARAUS_00384,4,1,1,1,23,0,1,1,5,7,2,1,1,6,3,42,35,6,14,36
ARAUS_00385,5,1,0,0,27,0,1,1,9,9,1,0,0,6,3,29,12,20,38,27
ARAUS_00386,1,1,1,0,25,0,1,2,7,-1,1,1,1,2,7,29,16,15,29,17
ARAUS_00387,2,0,-1,-1,27,1,1,1,7,9,1,1,1,10,0,45,33,5,29,40
ARAUS_00388,3,1,1,0,31,0,1,2,7,-1,1,1,1,8,3,43,17,15,22,19
ARAUS_00389,4,1,0,0,22,0,2,1,5,7,1,1,1,8,5,46,28,10,30,36
ARAUS_00390,5,1,0,0,32,1,1,1,8,9,1,0,0,10,2,47,21,14,32,35
ARAUS_00391,1,1,0,0,54,0,3,2,5,-1,1,1,1,4,8,26,15,15,28,10
ARAUS_00392,2,1,0,0,24,0,0,1,6,7,1,0,0,5,5,37,20,8,27,26
ARAUS_00393,3,1,0,0,25,0,1,2,7,-1,1,0,0,7,3,33,15,14,34,16
ARAUS_00394,4,0,-1,-1,24,0,1,1,5,7,1,1,1,3,3,34,26,9,21,20
ARAUS_00395,5,1,1,1,21,1,1,1,5,7,1,1,1,6,4,38,23,15,36,38
ARAUS_00396,1,1,0,0,60,1,1,2,6,-1,1,1,1,6,5,38,22,13,29,20
ARAUS_00397,2,1,1,1,24,1,1,1,6,7,2,0,1,9,8,41,12,25,43,19
ARAUS_00398,3,0,-1,-1,27,0,1,1,7,9,1,1,1,1,9,16,21,16,44,19
ARAUS_00399,4,0,-1,-1,23,1,1,2,7,-1,4,1,1,4,7,25,21,9,25,16
ARAUS_00400,5,1,1,1,25,1,1,1,6,7,4,1,1,2,7,32,30,7,17,24
ARAUS_00401,1,1,1,0,38,1,1,1,7,7,1,1,1,8,8,30,16,13,22,11
ARAUS_00402,2,1,0,0,26,0,1,1,8,9,1,0,0,7,3,37,23,11,28,19
ARAUS_00403,3,1,1,0,26,0,1,1,6,7,1,1,1,3,8,18,16,16,38,31
ARAUS_00404,4,1,1,1,22,1,1,1,5,7,1,1,1,1,4,25,25,5,23,17
ARAUS_00405,5,1,1,1,21,1,1,1,5,7,1,1,1,6,6,42,27,10,23,33
ARAUS_00406,1,1,1,0,20,1,1,1,5,7,1,1,1,6,4,40,27,15,24,19
ARAUS_00407,2,1,1,1,23,0,1,1,5,7,1,1,1,7,6,42,17,15,37,26
ARAUS_00408,3,1,0,0,61,1,1,2,6,-1,1,1,1,8,7,35,15,20,34,21
ARAUS_00409,4,1,0,0,25,0,1,1,5,7,1,0,0,7,3,46,14,18,37,17
ARAUS_00410,5,1,0,0,24,1,1,1,5,7,2,0,0,3,9,35,17,18,34,34
ARAUS_00411,1,1,1,0,21,1,1,1,6,7,1,1,1,3,8,25,15,17,18,19
ARAUS_00412,2,1,0,0,31,1,1,2,8,-1,1,1,1,7,3,28,11,14,27,14
ARAUS_00413,3,1,1,0,21,1,1,1,5,7,4,1,1,8,3,43,20,14,30,28
ARAUS_00414,4,1,1,0,21,1,1,1,5,7,4,1,1,3,5,38,19,11,24,19
ARAUS_00415,5,1,1,0,24,0,1,1,5,7,1,1,1,7,5,41,18,17,35,22
ARAUS_00416,1,0,-1,-1,24,0,1,1,6,7,1,1,1,4,7,26,16,15,30,15
ARAUS_00417,2,1,1,0,21,1,1,1,5,7,4,1,1,7,7,39,18,9,35,24
ARAUS_00418,3,1,0,0,20,1,3,1,5,7,1,1,1,4,8,24,19,14,34,34
ARAUS_00419,4,1,0,0,25,0,1,1,6,7,1,1,1,7,4,38,23,8,25,27
ARAUS_00420,5,0,-1,-1,21,0,1,1,5,7,4,1,1,2,6,28,21,5,17,20
ARAUS_00421,1,1,1,0,21,1,1,1,5,7,2,1,1,7,5,23,28,16,29,26
ARAUS_00422,2,1,0,0,28,1,1,2,9,-1,1,0,1,4,1,22,17,14,30,22
ARAUS_00423,3,1,0,0,22,1,1,1,6,7,1,1,1,7,4,42,27,13,35,33
ARAUS_00424,4,1,1,0,21,1,1,1,5,7,2,1,1,8,8,43,22,11,21,25
ARAUS_00425,5,1,1,0,26,0,1,2,7,-1,1,1,1,5,8,37,10,19,33,11
ARAUS_00426,1,1,1,1,21,1,1,1,6,7,1,0,1,8,5,43,22,10,21,29
ARAUS_00427,2,1,1,0,22,1,1,1,6,7,1,1,1,3,4,25,26,12,25,42
ARAUS_00428,3,1,1,0,27,0,1,2,7,-1,1,1,1,6,7,34,18,12,33,20
ARAUS_00429,4,1,0,1,23,1,1,1,6,7,1,1,1,6,8,32,18,19,37,16
ARAUS_00430,5,1,0,0,23,0,2,1,6,7,1,1,1,5,5,21,13,18,39,14
ARAUS_00431,1,1,0,0,22,0,1,1,7,8,1,0,0,3,8,32,19,17,29,16
ARAUS_00432,2,1,1,0,21,1,2,1,5,7,1,1,1,7,6,39,26,11,26,22
ARAUS_00433,3,1,0,0,19,1,1,1,5,7,2,0,0,6,7,40,24,15,32,27
ARAUS_00434,4,1,1,1,20,1,1,1,6,7,1,1,1,5,5,37,18,19,29,12
ARAUS_00435,5,1,1,0,34,1,1,2,7,-1,1,1,1,6,7,33,24,7,23,23
ARAUS_00436,1,1,0,0,22,0,2,1,5,7,2,1,1,5,7,26,15,17,30,13
ARAUS_00437,2,1,0,0,22,1,1,1,7,8,4,0,0,1,4,36,19,6,15,19
ARAUS_00438,3,1,0,1,25,1,1,1,8,9,1,0,0,6,4,45,22,9,24,26
ARAUS_00439,4,1,0,1,21,1,3,1,7,8,1,0,0,6,6,43,26,9,25,35
ARAUS_00440,5,1,1,1,20,1,2,1,5,7,1,1,1,7,7,38,25,18,40,26
ARAUS_00441,1,1,0,0,22,0,3,1,8,8,1,0,0,8,6,25,14,12,39,28
ARAUS_00442,2,1,0,0,45,0,2,2,4,-1,1,1,1,5,7,29,20,16,30,22
ARAUS_00443,3,1,0,0,22,0,0,1,5,7,1,1,1,5,8,35,16,14,34,14
ARAUS_00444,4,1,1,0,27,1,2,2,6,-1,1,1,1,7,7,37,27,9,31,26
ARAUS_00445,5,1,1,0,26,1,1,1,5,7,1,1,1,6,8,44,16,14,35,20
ARAUS_00446,1,1,0,0,23,1,1,1,7,8,1,0,0,3,3,40,10,18,35,14
ARAUS_00447,2,1,0,0,21,1,3,1,7,8,3,0,0,5,7,31,15,13,29,15
ARAUS_00448,3,1,0,0,24,1,1,1,7,8,1,0,0,8,2,39,18,14,34,26
ARAUS_00449,4,1,1,0,21,1,1,1,5,7,1,1,1,7,4,33,21,6,34,18
ARAUS_00450,5,1,0,1,60,0,1,2,8,-1,4,1,1,5,6,26,20,14,33,21
ARAUS_00451,1,0,-1,-1,21,1,1,1,5,7,4,1,1,8,4,40,20,20,32,15
ARAUS_00452,2,1,1,0,21,1,3,1,5,7,1,1,1,5,7,24,20,21,41,23
ARAUS_00453,3,1,1,0,24,0,1,1,6,7,1,1,1,8,2,38,15,20,37,19
ARAUS_00454,4,1,1,1,22,0,1,1,5,7,1,1,1,7,7,33,14,18,37,27
ARAUS_00455,5,1,1,0,20,1,1,1,5,7,2,1,1,7,8,29,14,15,29,13
ARAUS_00456,1,1,1,1,23,1,1,1,6,7,1,1,1,4,5,36,31,16,32,31
ARAUS_00457,2,1,1,1,26,1,2,1,6,7,1,1,1,8,7,45,18,14,35,21
ARAUS_00458,3,1,0,0,20,0,3,1,5,7,2,0,0,6,8,35,21,12,30,29
ARAUS_00459,4,1,1,1,22,0,1,1,5,7,1,1,1,9,8,43,17,12,18,20
ARAUS_00460,5,1,0,0,20,1,1,1,5,7,1,1,1,4,7,40,22,13,32,29
ARAUS_00461,1,1,1,0,33,0,1,2,8,-1,1,1,1,7,4,38,12,18,42,18
ARAUS_00462,2,1,1,0,24,0,1,1,5,7,1,1,1,8,6,40,16,16,32,16
ARAUS_00463,3,1,1,0,23,1,1,1,6,7,1,1,1,8,3,35,20,14,36,26
ARAUS_00464,4,1,0,0,25,1,1,1,6,7,1,1,1,7,7,36,19,12,19,19
ARAUS_00465,5,1,1,1,21,1,2,1,6,7,1,1,1,6,7,37,20,15,29,27
ARAUS_00466,1,0,-1,-1,24,1,1,4,7,-1,1,1,1,8,5,41,33,10,22,28
ARAUS_00467,2,0,-1,-1,24,0,1,1,5,7,4,1,1,3,8,43,9,21,35,10
ARAUS_00468,3,1,0,0,24,0,1,1,8,9,1,0,0,4,5,37,16,14,29,21
ARAUS_00469,4,1,1,0,21,1,1,1,6,7,2,1,1,10,2,33,15,13,37,19
ARAUS_00470,5,1,1,0,21,1,1,1,5,7,4,1,1,5,4,23,9,19,34,12
ARAUS_00471,1,1,1,1,21,1,1,1,7,7,1,1,1,7,8,33,20,14,31,29
ARAUS_00472,2,1,1,0,21,1,1,1,5,7,1,1,1,4,8,34,21,15,35,28
ARAUS_00473,3,1,0,0,21,1,1,1,7,8,1,0,0,7,6,33,17,19,37,16
ARAUS_00474,4,1,1,0,21,1,1,1,6,7,1,1,1,3,7,28,16,10,25,16
ARAUS_00475,5,1,1,0,21,1,1,1,5,7,1,0,1,10,9,39,19,10,21,26
ARAUS_00476,1,1,1,0,21,1,1,1,5,7,1,1,1,6,6,30,22,12,22,22
ARAUS_00477,2,1,1,0,50,0,1,2,7,-1,4,1,1,7,3,37,13,20,46,10
ARAUS_00478,3,1,0,0,26,1,1,1,7,9,1,0,0,2,7,29,20,8,22,16
ARAUS_00479,4,1,1,0,23,0,1,1,6,7,1,1,1,7,6,30,13,17,35,15
ARAUS_00480,5,1,1,1,36,1,3,1,7,8,4,0,1,9,10,46,30,6,23,41
ARAUS_00481,1,1,0,0,24,1,1,1,6,7,2,0,0,6,5,43,19,14,27,23
ARAUS_00482,2,1,1,0,22,1,1,1,5,7,1,1,1,5,7,37,30,12,23,42
ARAUS_00483,3,1,1,0,24,0,1,1,5,7,1,1,1,6,7,38,21,15,33,33
ARAUS_00484,4,1,1,1,20,1,1,1,6,7,4,1,1,7,7,42,17,15,34,38
ARAUS_00485,5,1,1,1,35,0,1,2,7,-1,1,1,1,7,3,41,20,6,15,14
ARAUS_00486,1,1,1,0,24,0,1,2,5,-1,1,1,1,9,4,39,22,12,23,23
ARAUS_00487,2,1,0,0,24,1,1,1,6,6,1,0,0,6,3,41,26,14,24,25
ARAUS_00488,3,1,0,1,26,0,3,1,5,7,1,1,1,8,3,35,20,14,33,24
ARAUS_00489,4,1,1,0,32,0,1,2,7,-1,1,1,1,6,8,37,17,16,41,18
ARAUS_00490,5,1,1,0,21,1,1,1,6,7,1,1,1,8,4,42,24,11,26,32
ARAUS_00491,1,1,1,1,22,1,0,1,6,7,1,1,1,3,7,29,26,10,25,36
ARAUS_00492,2,1,0,0,25,0,1,1,6,7,1,1,1,7,4,32,21,19,34,25
ARAUS_00493,3,1,1,0,21,0,1,1,5,7,2,1,1,8,8,46,28,7,31,28
ARAUS_00494,4,1,1,0,21,0,1,1,5,7,4,1,1,3,7,24,23,14,35,29
ARAUS_00495,5,1,1,0,25,0,1,1,6,7,1,1,1,0,10,24,12,20,36,21
ARAUS_00496,1,1,1,1,25,1,3,1,7,8,1,0,0,1,5,18,20,22,42,17
ARAUS_00497,2,1,1,0,23,1,1,1,6,7,1,1,1,4,8,28,17,15,31,24
ARAUS_00498,3,0,-1,-1,23,1,1,1,6,7,4,1,1,8,6,41,21,20,40,26
ARAUS_00499,4,1,1,0,22,1,1,1,6,7,1,1,1,3,8,31,11,20,42,19
ARAUS_00500,5,0,-1,-1,21,1,1,1,6,7,2,1,1,10,6,47,21,2,21,35
ARAUS_00501,1,1,1,1,19,1,1,1,5,7,2,1,1,0,9,30,15,16,39,39
ARAUS_00502,2,1,0,0,30,1,1,2,9,-1,4,0,0,2,5,36,17,9,20,20
ARAUS_00503,3,1,1,1,21,1,1,1,5,7,1,1,1,7,7,41,21,17,23,15
ARAUS_00504,4,0,-1,-1,25,0,1,1,6,7,1,1,1,8,1,36,21,8,19,21
ARAUS_00505,5,1,1,0,22,1,1,1,5,7,1,1,1,3,4,29,20,16,31,20
ARAUS_00506,1,1,1,1,24,0,1,1,5,7,1,1,1,9,1,45,30,9,36,34
ARAUS_00507,2,1,1,0,21,0,1,1,5,7,1,1,1,5,5,38,24,11,33,22
ARAUS_00508,3,1,0,0,22,0,1,1,7,9,2,0,0,6,8,41,19,11,26,21
ARAUS_00509,4,1,1,1,21,0,1,1,5,7,1,1,1,6,3,29,14,15,30,16
ARAUS_00510,5,1,1,0,21,1,1,1,6,7,1,1,1,4,3,39,23,17,36,23
ARAUS_00511,1,1,0,0,22,1,1,1,6,7,2,0,0,6,8,30,18,14,35,20
ARAUS_00512,2,1,0,0,22,0,3,1,5,7,1,1,1,6,8,37,20,11,34,25
ARAUS_00513,3,1,1,1,22,1,1,1,5,7,1,1,1,7,5,39,28,15,32,36
ARAUS_00514,4,1,0,0,27,1,1,2,7,-1,4,0,1,1,9,26,8,19,45,18
ARAUS_00515,5,1,0,1,18,1,3,1,3,7,2,0,0,8,5,44,25,10,31,33
ARAUS_00516,1,1,0,0,32,1,1,2,7,-1,4,1,1,5,5,35,19,15,30,21
ARAUS_00517,2,1,0,0,39,0,1,2,7,-1,4,0,1,6,6,36,13,17,37,18
ARAUS_00518,3,1,0,0,21,1,1,1,5,7,2,0,0,7,3,29,13,16,37,20
ARAUS_00519,4,1,0,0,22,0,1,1,5,7,2,0,0,1,8,33,22,13,29,38
ARAUS_00520,5,1,1,0,21,0,1,1,5,7,4,1,1,6,6,23,11,15,38,20
ARAUS_00521,1,1,1,1,26,1,1,2,6,-1,1,1,1,5,8,29,21,15,32,30
ARAUS_00522,2,1,0,0,21,0,1,1,5,7,2,0,0,3,7,30,18,12,35,27
ARAUS_00523,3,1,0,0,24,0,1,1,7,7,2,0,0,6,7,24,10,22,46,16
ARAUS_00524,4,1,1,1,20,1,1,1,6,7,1,1,1,10,0,39,39,5,15,46
ARAUS_00525,5,1,0,0,24,0,1,1,6,7,1,1,1,6,4,36,16,13,34,21
ARAUS_00526,1,1,1,0,22,1,1,1,6,7,1,1,1,3,5,36,24,15,25,18
ARAUS_00527,2,1,1,1,24,0,1,1,6,7,1,1,1,7,8,33,18,17,32,28
ARAUS_00528,3,1,1,1,23,1,1,1,6,7,4,1,1,3,7,25,17,14,26,20
ARAUS_00529,4,1,1,0,20,1,3,1,5,7,2,0,0,2,9,39,10,18,37,17
ARAUS_00530,5,1,1,0,19,1,1,1,5,7,1,1,1,7,5,33,21,10,25,27
ARAUS_00531,1,1,1,0,21,1,1,1,5,7,2,0,0,6,8,22,25,18,41,37
ARAUS_00532,2,0,-1,-1,25,1,0,1,5,7,1,0,1,4,4,38,23,14,27,26
ARAUS_00533,3,1,0,0,22,1,1,1,5,7,2,0,0,3,8,31,21,15,35,29
ARAUS_00534,4,1,0,0,21,0,1,1,5,7,2,0,0,7,5,44,32,12,30,46
ARAUS_00535,5,1,1,0,24,0,1,1,6,7,1,1,1,3,7,27,13,10,24,14
ARAUS_00536,1,1,1,0,21,1,1,1,5,7,4,1,1,5,8,37,15,12,25,33
ARAUS_00537,2,1,0,0,21,1,1,1,5,7,1,1,1,4,6,32,27,9,31,27
ARAUS_00538,3,1,0,0,19,1,3,1,5,7,1,1,1,4,9,27,26,12,28,28
ARAUS_00539,4,0,-1,-1,19,1,2,1,6,7,1,1,1,2,6,20,29,11,35,32
ARAUS_00540,5,1,0,0,28,0,3,1,7,8,1,0,0,8,7,28,15,18,38,18
ARAUS_00541,1,1,1,0,24,0,1,1,5,7,3,1,1,7,5,39,20,10,35,33
ARAUS_00542,2,1,1,1,25,0,1,1,6,7,1,1,1,1,5,22,14,8,16,11
ARAUS_00543,3,1,0,0,19,1,1,1,5,7,2,0,0,4,8,28,9,14,24,19
ARAUS_00544,4,1,1,0,27,1,1,1,6,7,1,1,1,3,6,34,28,11,23,36
ARAUS_00545,5,1,1,0,21,1,1,1,5,7,1,1,1,6,8,37,18,15,38,23
ARAUS_00546,1,1,1,0,20,1,1,1,5,7,1,1,1,6,5,45,22,12,28,24
ARAUS_00547,2,1,0,0,21,0,3,1,5,7,1,0,1,3,6,33,17,13,28,19
ARAUS_00548,3,0,-1,-1,20,1,1,0,5,-1,1,1,1,2,9,18,13,19,41,24
ARAUS_00549,4,1,1,1,24,0,1,1,6,7,1,1,1,6,8,36,26,11,34,36
ARAUS_00550,5,1,0,0,25,0,1,1,6,7,1,1,1,7,9,26,16,11,35,23
ARAUS_00551,1,1,1,0,26,0,1,2,7,-1,4,1,1,9,2,38,17,11,17,15
ARAUS_00552,2,0,-1,-1,22,0,1,1,6,7,2,1,1,7,6,34,16,13,36,18
ARAUS_00553,3,0,-1,-1,21,0,1,1,5,7,2,1,1,8,7,40,28,5,27,35
ARAUS_00554,4,1,0,1,21,0,3,1,5,7,1,0,1,5,7,40,27,7,20,30
ARAUS_00555,5,1,0,0,27,0,0,1,8,9,2,0,0,5,7,42,27,15,37,33
ARAUS_00556,1,1,0,1,22,0,1,1,5,7,1,1,1,7,7,39,19,15,29,18
ARAUS_00557,2,1,0,0,26,0,3,2,8,-1,1,0,0,2,7,32,13,15,40,17
ARAUS_00558,3,1,1,0,32,0,2,2,7,-1,1,1,1,3,6,34,17,14,29,16
ARAUS_00559,4,1,0,0,22,0,1,1,5,7,2,0,0,6,5,31,20,17,34,35
ARAUS_00560,5,0,-1,-1,23,0,1,1,6,7,1,1,1,9,5,48,24,8,32,42
